Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
"Employers, total (% of total employment) (modeled ILO estimate)",float64,160,0,160,0,0.069,4.517,0.0,0.0,1.77,1.419,1.263,-0.633,0.619
Employment in agriculture (% of total employment) (modeled ILO estimate),float64,160,0,160,0,7.7,73.139,0.0,0.0,43.188,44.273,16.498,-0.227,-0.548
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",float64,160,0,160,0,2.087,86.138,0.0,0.0,55.243,64.788,23.921,0.177,-1.144
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",float64,160,0,160,0,9.388,68.391,0.0,0.0,38.716,38.932,14.229,-0.521,-0.191
Employment in industry (% of total employment) (modeled ILO estimate),float64,160,0,160,0,6.368,28.405,0.0,0.0,19.391,20.313,5.495,-0.499,-0.516
"Employment in industry, female (% of female employment) (modeled ILO estimate)",float64,160,0,160,0,3.696,33.938,0.0,0.0,17.375,16.25,6.542,-0.623,0.233
"Employment in industry, male (% of male employment) (modeled ILO estimate)",float64,160,0,160,0,6.078,29.749,0.0,0.0,20.243,20.455,5.787,-0.721,-0.37
Employment in services (% of total employment) (modeled ILO estimate),float64,160,0,160,0,16.139,69.853,0.0,0.0,37.421,35.191,13.519,0.747,1.022
"Employment in services, female (% of female employment) (modeled ILO estimate)",float64,160,0,160,0,6.791,77.494,0.0,0.0,27.382,21.609,20.123,0.875,1.373
"Employment in services, male (% of male employment) (modeled ILO estimate)",float64,160,0,160,0,19.358,68.12,0.0,0.0,41.041,40.667,11.654,0.262,0.643
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",float64,160,0,159,1,3.779,61.956,0.0,0.0,30.228,28.843,12.748,0.704,0.963
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",float64,160,0,159,1,46.801,84.644,0.0,0.0,69.346,71.444,8.8,0.276,-0.948
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",float64,160,0,160,0,32.333,67.645,0.0,0.0,50.095,50.073,8.547,-0.414,-0.063
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",float64,160,0,159,1,4.354,47.108,0.0,0.0,21.564,18.422,9.82,0.236,1.022
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",float64,160,0,160,0,20.903,68.949,0.0,0.0,43.227,40.589,11.328,-0.75,0.201
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",float64,160,0,160,0,18.815,46.91,0.0,0.0,32.636,33.342,7.514,-1.247,0.075
Export unit value index (2015 = 100),float64,160,0,138,14,64.3,248.9,0.0,0.0,103.404,100.95,22.12,11.822,2.333
GOAL 10: Reduced Inequality (5 year moving average),float64,160,0,12,12,0.333,0.875,0.0,0.0,0.522,0.5,0.133,0.989,1.112
GOAL 11: Sustainable Cities and Communities (5 year moving average),float64,160,0,15,13,0.0,1.0,0.0,20.0,0.548,0.667,0.342,-1.035,-0.435
GOAL 12: Responsible Consumption and Production (5 year moving average),float64,160,0,6,6,0.333,1.0,0.0,0.0,0.658,0.667,0.235,-1.246,0.258
GOAL 15: Life on Land (5 year moving average),float64,160,0,14,9,0.667,1.0,0.0,0.0,0.92,0.889,0.081,-0.58,-0.54
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),float64,160,0,24,21,0.0,1.0,0.0,3.75,0.507,0.5,0.191,0.886,-0.18
GOAL 17: Partnerships to achieve the Goal (5 year moving average),float64,160,0,25,19,0.333,0.938,0.0,0.0,0.767,0.75,0.112,0.933,-0.815
GOAL 1: No Poverty (5 year moving average),float64,160,0,16,13,0.0,1.0,0.0,1.875,0.724,0.714,0.24,0.236,-0.775
GOAL 2: Zero Hunger (5 year moving average),float64,160,0,21,17,0.286,1.0,0.0,0.0,0.779,0.857,0.17,0.548,-1.041
GOAL 3: Good Health and Well-being (5 year moving average),float64,160,0,35,27,0.556,1.0,0.0,0.0,0.757,0.761,0.08,0.665,-0.04
GOAL 4: Quality Education (5 year moving average),float64,160,0,26,23,0.0,1.0,0.0,4.375,0.44,0.444,0.228,0.094,0.356
GOAL 5: Gender Equality (5 year moving average),float64,160,0,18,15,0.0,1.0,0.0,3.125,0.372,0.286,0.188,0.387,0.66
GOAL 6: Clean Water and Sanitation (5 year moving average),float64,160,0,9,9,0.6,1.0,0.0,0.0,0.917,1.0,0.117,-0.255,-0.999
GOAL 7: Affordable and Clean Energy (5 year moving average),float64,160,0,7,7,0.8,1.0,0.0,0.0,0.876,0.933,0.069,-1.692,-0.006
GOAL 8: Decent Work and Economic Growth (5 year moving average),float64,160,0,38,26,0.111,0.889,0.0,0.0,0.475,0.444,0.197,-0.416,0.484
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",float64,160,0,25,19,0.125,1.0,0.0,0.0,0.46,0.444,0.222,-0.91,0.186
Government Effectiveness: Estimate,float64,160,0,160,0,-1.987,0.711,0.0,0.0,-0.45,-0.439,0.601,-0.616,-0.167
Government Effectiveness: Number of Sources,float64,160,0,9,9,2.0,10.0,0.0,0.0,7.625,8.0,2.336,-0.692,-0.713
Government Effectiveness: Percentile Rank,float64,160,0,147,13,1.415,74.286,0.0,0.0,37.337,37.838,20.464,-1.213,0.002
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",float64,160,0,129,22,0.0,63.981,0.0,2.5,24.858,19.332,18.317,-1.144,0.411
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",float64,160,0,138,19,6.604,84.286,0.0,0.0,49.991,52.705,20.361,-0.94,-0.287
Government Effectiveness: Standard Error,float64,160,0,126,22,0.175,0.428,0.0,0.0,0.241,0.228,0.055,2.23,1.554
Health/Demographic survey (Availability score over 10 years),float64,160,0,4,4,0.0,1.0,0.0,3.75,0.765,1.0,0.296,-0.244,-0.951
"Household Survey on income, etc  (Availability score over 10 years)",float64,160,0,4,4,0.0,1.0,0.0,5.625,0.846,1.0,0.274,2.956,-1.914
"Immunization, DPT (% of children ages 12-23 months)",float64,160,0,40,25,50.0,99.0,0.0,0.0,86.069,93.0,14.553,-0.525,-0.952
"Immunization, measles (% of children ages 12-23 months)",float64,160,0,44,30,48.0,99.0,0.0,0.0,85.038,90.0,14.933,-0.464,-0.954
Import unit value index (2015 = 100),float64,160,0,137,14,49.7,159.6,0.0,0.0,104.613,103.1,19.025,0.392,0.015
"Incidence of tuberculosis (per 100,000 people)",float64,160,0,82,22,29.0,371.0,0.0,0.0,187.369,199.5,89.352,-0.855,-0.416
Labor Force Survey (Availability score over 10 years),float64,160,0,4,4,0.0,1.0,0.0,21.25,0.696,1.0,0.417,-1.098,-0.831
Labor force participation rate by sex and age (%),float64,160,0,3,3,0.0,1.0,0.0,33.75,0.547,0.5,0.437,-1.675,-0.184
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",float64,160,0,159,1,6.225,53.374,0.0,0.0,25.59,21.97,10.461,0.126,0.906
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",float64,160,0,160,0,25.53,71.22,0.0,0.0,50.271,50.363,10.94,-0.438,-0.328
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",float64,160,0,159,1,25.14,52.788,0.0,0.0,38.25,38.981,7.156,-0.964,0.108
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",float64,160,0,160,0,5.155,65.615,0.0,0.0,32.544,31.286,13.045,0.628,0.899
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",float64,160,0,160,0,5.369,68.441,0.0,0.0,34.331,33.623,13.647,0.495,0.812
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",float64,160,0,160,0,53.31,86.945,0.0,0.0,73.395,74.665,7.973,0.361,-0.957
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",float64,160,0,159,1,56.22,88.51,0.0,0.0,75.748,78.084,7.886,0.219,-0.98
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",float64,160,0,157,2,37.64,69.7,0.0,0.0,53.295,53.015,7.941,-0.445,0.036
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",float64,160,0,160,0,38.6,72.041,0.0,0.0,55.469,55.575,8.115,-0.513,-0.029
"Labor force, female (% of total labor force)",float64,160,0,160,0,6.846,44.552,0.0,0.0,28.827,28.84,7.726,-0.393,-0.13
"Labor force, total",float64,160,0,160,0,106350.0,588969543.0,0.0,0.0,81352249.638,8365466.0,160714553.248,3.222,2.213
Lower secondary school starting age (years),float64,160,0,4,4,10.0,13.0,0.0,0.0,11.362,11.0,1.31,-1.673,0.287
Merchandise exports (current US$),float64,160,0,156,4,162000000.0,453415000000.0,0.0,0.0,41041237500.0,3720500000.0,93235699355.561,7.041,2.815
Merchandise imports (current US$),float64,160,0,160,0,386000000.0,720441000000.0,0.0,0.0,64862962500.0,11659000000.0,140605346823.725,7.534,2.865
Merchandise trade (% of GDP),float64,160,0,160,0,21.434,95.639,0.0,0.0,43.982,38.737,16.783,0.179,1.009
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),float64,160,0,160,0,-21.054,357.459,0.0,0.0,56.496,23.093,76.183,4.482,2.123
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),float64,160,0,160,0,0.068,848.535,0.0,0.0,145.011,22.581,250.161,2.502,2.003
Methane (CH4) emissions from Agriculture (Mt CO2e),float64,160,0,141,1,0.0,567.559,0.0,12.5,105.874,18.404,173.872,2.197,1.905
Methane (CH4) emissions from Building (Energy) (Mt CO2e),float64,160,0,149,8,0.001,38.999,0.0,0.0,7.058,1.987,12.169,2.515,2.018
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),float64,160,0,145,11,0.002,100.424,0.0,0.0,12.083,0.315,26.3,3.562,2.268
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),float64,160,0,125,17,0.0,4.166,0.0,0.0,0.393,0.021,0.964,5.707,2.638
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),float64,160,0,91,15,0.0,1.1,0.0,12.5,0.091,0.003,0.231,8.305,3.014
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),float64,160,0,144,14,0.001,2.24,0.0,0.0,0.3,0.033,0.534,3.031,2.03
Methane (CH4) emissions from Waste (Mt CO2e),float64,160,0,160,0,0.062,133.621,0.0,0.0,19.179,2.841,37.106,3.296,2.219
Net migration,float64,160,0,155,2,-2290411.0,576349.0,0.0,0.0,-349429.131,-108370.0,523802.77,1.932,-1.475
Newborns protected against tetanus (%),float64,160,0,28,24,60.0,99.0,0.0,0.0,87.806,89.0,9.135,1.285,-1.167
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),float64,160,0,160,0,-12.244,750.0,0.0,0.0,110.911,73.47,152.289,7.015,2.731
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),float64,160,0,160,0,0.018,270.031,0.0,0.0,38.153,3.894,73.08,3.249,2.179
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),float64,160,0,139,3,0.0,192.354,0.0,12.5,29.11,3.212,53.966,2.887,2.092
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),float64,160,0,152,7,0.0,8.389,0.0,0.0,1.391,0.324,2.427,2.84,2.092
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),float64,160,0,65,19,0.0,0.212,0.0,16.25,0.027,0.003,0.063,3.31,2.281
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),float64,160,0,138,11,0.0,5.372,0.0,0.0,0.517,0.028,1.246,5.64,2.623
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),float64,160,0,156,4,0.008,16.687,0.0,0.0,2.058,0.247,4.376,3.706,2.313
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),float64,160,0,104,20,0.0,23.001,0.0,12.5,1.832,0.007,5.148,6.748,2.844
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),float64,160,0,150,8,0.001,7.274,0.0,0.0,0.938,0.089,1.812,4.177,2.311
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),float64,160,0,134,10,0.0,16.767,0.0,8.75,2.281,0.32,4.516,3.637,2.283
Pillar 1  - Data Use - Score,float64,160,0,11,9,20.0,100.0,0.0,0.0,55.688,60.0,26.112,-1.281,0.123
Political Stability and Absence of Violence/Terrorism: Estimate,float64,160,0,160,0,-2.81,1.284,0.0,0.0,-0.96,-1.012,1.161,-0.975,0.212
Political Stability and Absence of Violence/Terrorism: Number of Sources,float64,160,0,7,7,3.0,9.0,0.0,0.0,6.0,6.0,1.903,-1.236,-0.272
Political Stability and Absence of Violence/Terrorism: Percentile Rank,float64,160,0,132,21,0.472,94.686,0.0,0.0,26.421,14.489,27.403,-0.162,1.055
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",float64,160,0,104,19,0.0,71.429,0.0,16.875,18.267,9.048,21.609,0.119,1.207
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",float64,160,0,130,23,1.429,100.0,0.0,0.0,35.397,23.641,31.827,-0.646,0.843
Political Stability and Absence of Violence/Terrorism: Standard Error,float64,160,0,113,29,0.192,0.333,0.0,0.0,0.247,0.241,0.036,-0.275,0.778
Population & Housing census (Availability score over 20 years),float64,160,0,3,3,0.0,1.0,0.0,13.125,0.831,1.0,0.35,1.43,-1.77
Population ages 0-14 (% of total population),float64,160,0,160,0,20.049,50.177,0.0,0.0,32.364,31.183,7.671,-0.465,0.591
"Population ages 0-14, female",float64,160,0,160,0,43155.0,185486061.0,0.0,0.0,32610615.7,5410158.0,58094477.103,2.689,2.073
"Population ages 0-14, female (% of female population)",float64,160,0,160,0,21.262,49.249,0.0,0.0,32.203,30.569,7.241,-0.41,0.704
"Population ages 0-14, male",float64,160,0,160,0,49440.0,204250499.0,0.0,0.0,35331028.45,5656952.5,63818341.884,2.741,2.09
"Population ages 0-14, male (% of male population)",float64,160,0,160,0,17.216,51.094,0.0,0.0,32.661,31.684,8.119,-0.437,0.406
"Population ages 0-14, total",float64,160,0,160,0,92595.0,389736560.0,0.0,0.0,67941644.125,11067110.0,121911150.724,2.717,2.082
"Population ages 00-04, female (% of female population)",float64,160,0,160,0,6.466,19.633,0.0,0.0,10.941,9.846,3.203,0.111,1.013
"Population ages 00-04, male (% of male population)",float64,160,0,160,0,4.898,20.456,0.0,0.0,11.065,10.045,3.486,0.08,0.821
"Population ages 05-09, female (% of female population)",float64,160,0,160,0,7.069,16.472,0.0,0.0,10.727,10.157,2.419,-0.446,0.702
"Population ages 05-09, male (% of male population)",float64,160,0,160,0,5.833,17.07,0.0,0.0,10.89,10.611,2.694,-0.491,0.455
"Population ages 10-14, female (% of female population)",float64,160,0,160,0,7.396,13.807,0.0,0.0,10.535,10.549,1.854,-1.096,-0.016
"Population ages 10-14, male (% of male population)",float64,160,0,160,0,5.778,14.24,0.0,0.0,10.706,10.898,2.179,-0.563,-0.376
"Population ages 15-19, female (% of female population)",float64,160,0,160,0,6.737,13.845,0.0,0.0,10.153,10.329,1.498,0.002,-0.376
"Population ages 15-19, male (% of male population)",float64,160,0,160,0,4.996,14.102,0.0,0.0,10.313,10.624,1.684,1.108,-0.698
Population ages 15-64 (% of total population),float64,160,0,160,0,47.554,75.606,0.0,0.0,62.627,63.776,6.453,-0.19,-0.388
"Population ages 15-64, female",float64,160,0,160,0,89344.0,471471101.0,0.0,0.0,67685915.319,8678466.0,131387664.007,3.332,2.227
"Population ages 15-64, female (% of female population)",float64,160,0,160,0,48.263,70.926,0.0,0.0,62.413,64.055,5.709,-0.191,-0.828
"Population ages 15-64, male",float64,160,0,160,0,95695.0,506719577.0,0.0,0.0,71404923.544,7972683.0,141418475.691,3.369,2.24
"Population ages 15-64, male (% of male population)",float64,160,0,160,0,46.855,79.105,0.0,0.0,62.685,63.299,7.149,-0.081,-0.045
"Population ages 15-64, total",float64,160,0,160,0,185040.0,978190678.0,0.0,0.0,139090838.85,16716942.5,272799523.142,3.352,2.234
"Population ages 20-24, female (% of female population)",float64,160,0,160,0,6.677,12.899,0.0,0.0,9.488,9.452,1.178,1.053,0.306
"Population ages 20-24, male (% of male population)",float64,160,0,160,0,6.752,14.821,0.0,0.0,9.719,9.481,1.419,2.695,1.334
"Population ages 25-29, female (% of female population)",float64,160,0,160,0,6.74,12.0,0.0,0.0,8.582,8.488,1.138,1.007,0.904
"Population ages 25-29, male (% of male population)",float64,160,0,160,0,6.717,15.231,0.0,0.0,8.838,8.244,2.011,2.984,1.863
"Population ages 30-34, female (% of female population)",float64,160,0,160,0,5.633,11.194,0.0,0.0,7.52,7.384,1.229,1.476,1.05
"Population ages 30-34, male (% of male population)",float64,160,0,160,0,5.369,15.239,0.0,0.0,7.638,7.132,2.006,4.959,2.154
"Population ages 35-39, female (% of female population)",float64,160,0,160,0,4.649,10.48,0.0,0.0,6.472,6.559,1.121,1.079,0.583
"Population ages 35-39, male (% of male population)",float64,160,0,160,0,4.341,13.583,0.0,0.0,6.495,6.248,1.534,5.504,1.862
"Population ages 40-44, female (% of female population)",float64,160,0,160,0,3.751,7.743,0.0,0.0,5.495,5.525,0.958,-0.831,-0.07
"Population ages 40-44, male (% of male population)",float64,160,0,160,0,3.323,9.532,0.0,0.0,5.479,5.389,1.113,0.465,0.4
"Population ages 45-49, female (% of female population)",float64,160,0,160,0,3.019,6.433,0.0,0.0,4.705,4.752,0.929,-0.702,0.044
"Population ages 45-49, male (% of male population)",float64,160,0,160,0,2.633,6.369,0.0,0.0,4.628,4.664,0.97,-0.365,-0.124
"Population ages 50-54, female (% of female population)",float64,160,0,160,0,2.389,6.01,0.0,0.0,4.003,3.914,0.986,-0.381,0.379
"Population ages 50-54, male (% of male population)",float64,160,0,160,0,2.085,5.832,0.0,0.0,3.886,3.795,0.994,-0.217,0.179
"Population ages 55-59, female (% of female population)",float64,160,0,160,0,1.91,5.643,0.0,0.0,3.321,3.25,1.001,0.067,0.719
"Population ages 55-59, male (% of male population)",float64,160,0,160,0,1.619,5.354,0.0,0.0,3.178,3.107,0.987,-0.168,0.44
"Population ages 60-64, female (% of female population)",float64,160,0,160,0,1.491,5.296,0.0,0.0,2.674,2.504,0.919,0.992,1.111
"Population ages 60-64, male (% of male population)",float64,160,0,160,0,1.218,4.792,0.0,0.0,2.511,2.381,0.871,0.286,0.679
Population ages 65 and above (% of total population),float64,160,0,160,0,2.269,11.739,0.0,0.0,5.009,4.707,1.894,2.184,1.196
"Population ages 65 and above, female",float64,160,0,160,0,5682.0,52259267.0,0.0,0.0,6052797.169,879500.5,12553000.571,4.514,2.427
"Population ages 65 and above, female (% of female population)",float64,160,0,160,0,2.488,13.298,0.0,0.0,5.384,5.072,2.144,2.776,1.452
"Population ages 65 and above, male",float64,160,0,160,0,7684.0,47281658.0,0.0,0.0,5411490.794,710256.5,11144559.267,4.688,2.443
"Population ages 65 and above, male (% of male population)",float64,160,0,160,0,1.983,10.076,0.0,0.0,4.654,4.528,1.654,1.234,0.735
"Population ages 65 and above, total",float64,160,0,160,0,13366.0,99540924.0,0.0,0.0,11464287.969,1593116.0,23696001.226,4.595,2.435
"Population ages 65-69, female (% of female population)",float64,160,0,160,0,1.093,4.6,0.0,0.0,2.063,1.929,0.76,2.518,1.492
"Population ages 65-69, male (% of male population)",float64,160,0,160,0,0.875,3.926,0.0,0.0,1.885,1.806,0.683,1.007,0.845
"Population ages 70-74, female (% of female population)",float64,160,0,160,0,0.729,3.793,0.0,0.0,1.502,1.429,0.578,4.122,1.695
"Population ages 70-74, male (% of male population)",float64,160,0,160,0,0.566,2.973,0.0,0.0,1.319,1.298,0.47,1.922,0.881
"Population ages 75-79, female (% of female population)",float64,160,0,160,0,0.411,2.595,0.0,0.0,0.981,0.942,0.396,2.9,1.313
"Population ages 75-79, male (% of male population)",float64,160,0,160,0,0.328,1.824,0.0,0.0,0.822,0.816,0.286,1.019,0.433
"Population ages 80 and above, female (% of female population)",float64,160,0,160,0,0.247,2.31,0.0,0.0,0.838,0.78,0.445,1.086,1.083
"Population ages 80 and above, male (% of male population)",float64,160,0,160,0,0.176,1.352,0.0,0.0,0.627,0.63,0.269,-0.277,0.302
Population growth (annual %),float64,160,0,160,0,-2.8,4.093,0.0,0.0,1.543,1.192,1.071,0.975,0.313
"Population, female",float64,160,0,160,0,143255.0,696186332.0,0.0,0.0,106349328.144,14519175.5,201385281.382,3.086,2.178
"Population, female (% of total population)",float64,160,0,160,0,37.763,52.21,0.0,0.0,48.518,49.325,3.121,3.068,-1.715
"Population, male",float64,160,0,160,0,158158.0,741883264.0,0.0,0.0,112147442.75,13525167.5,215688222.444,3.105,2.187
"Population, male (% of total population)",float64,160,0,160,0,47.79,62.237,0.0,0.0,51.482,50.675,3.121,3.068,1.715
"Population, total",float64,160,0,160,0,301413.0,1438069596.0,0.0,0.0,218496770.894,28045473.5,417067591.417,3.097,2.182
"Preprimary education, duration (years)",float64,160,0,4,4,1.0,4.0,0.0,0.0,2.344,2.0,0.825,-0.624,-0.034
"Primary education, duration (years)",float64,160,0,3,3,5.0,7.0,0.0,0.0,5.619,5.0,0.853,-1.122,0.823
Primary school starting age (years),float64,160,0,3,3,5.0,7.0,0.0,0.0,5.744,6.0,0.666,-0.771,0.343
Quality of Debt service data according to World Bank,float64,160,0,4,2,0.0,1.0,0.0,60.0,0.394,0.0,0.487,-1.819,0.439
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),float64,160,0,160,0,7.34,96.284,0.0,0.0,44.934,43.511,18.6,0.485,0.83
Regulatory Quality: Estimate,float64,160,0,160,0,-1.709,0.517,0.0,0.0,-0.661,-0.647,0.405,0.327,-0.333
Regulatory Quality: Number of Sources,float64,160,0,9,9,2.0,11.0,0.0,0.0,8.281,9.0,2.411,-0.725,-0.704
Regulatory Quality: Percentile Rank,float64,160,0,144,15,2.913,65.196,0.0,0.0,28.913,27.99,13.546,-0.518,0.092
